Id,Joke
eaMCQKRZ0ob,Don't buy flowers at a monastery. Because only you can prevent florist friars.
ZvPfFQukVvc,The word queue is ironic. It's just q with a bunch of silent letters waiting in line.
SvPRCIeiNuc,How does a dyslexic poet write? Inverse.
9pjqj3gqWDd,"In my career as a lumberjack I cut down exactly 52,487 trees. I know because I kept a log."
sWSSnbaUfqc,Why is there always a gate around cemeteries? Because people are always dying to get in.
EYojGtPRusc,"I gave my friend 10 puns hoping that one of them would make him laugh. Sadly, no pun in ten did."
v4wAlO7USf,What type of music do balloons hate? Pop music!
5T08U8M79pb,Never take advice from electrons. They are always negative.
TS0gFlqr4ob,What do you call a group of disorganized cats? A cat-tastrophe.
8pWvzkjN7Ed,"Two muffins were sitting in an oven, and the first looks over to the second, and says, “man, it’s really hot in here”. The second looks over at the first with a surprised look, and answers, “WHOA, a talking muffin!”"
jiVfq4MZDlb,Sore throats are a pain in the neck!
GeFQZ89h,The rotation of earth really makes my day.
t4MJRuXDIe,Why do you never see elephants hiding in trees? Because they're so good at it.
MZDtW0gi3g,"Yesterday I confused the words ""jacuzzi"" and ""yakuza"". Now I'm in hot water with the Japanese mafia."
MCt4wX8pb,What did the Red light say to the Green light? Don't look at me I'm changing!
PfaMusPucFd,What do you do when your bunny gets wet? You get your hare dryer.
JJ61L61Lusc,How many bones are in the human hand? A handful of them.
ozPmbFtWDlb,"Some people say that comedians who tell one too many light bulb jokes soon burn out, but they don't know watt they are talking about. They're not that bright."
KBsrz5ws4Ed,Why are fish easy to weigh? Because they have their own scales.
lqWgFlyPusc,What do you call an Argentinian with a rubber toe? Roberto
GQuzAAXgah,"Some people say that I never got over my obsession with Phil Collins.
But take a look at me now."
OZLuP7UDtkb,"What’s the advantage of living in Switzerland? Well, the flag is a big plus."
D5wAA5o4TCd,What do you call a careful wolf? Aware wolf.
eqcpOf2EImb,To the person who stole my anti-depressant pills: I hope you're happy now.
N7pWvcxsHBd,What happens to a frog's car when it breaks down? It gets toad.
99MZvHJJtzd,Why don't sharks eat clowns?  Because they taste funny.
bxXLeqzP7wc,Americans can't switch from pounds to kilograms overnight. That would cause mass confusion.
H6Elb2LBdxc,What's blue and not very heavy?  Light blue.
tWL618U8Ed,"What did celery say when he broke up with his girlfriend? She wasn't right for me, so I really don't carrot all."
fqWgFt4Edxc,Why do crabs never give to charity? Because they’re shellfish.
DImrciqWSCd,What do you call a cow with no legs? Ground beef.
X8pWSKJRZg,What does a clock do when it's hungry? It goes back four seconds!
9xA51L6Uvc,"What do you get when you cross a bee and a sheep? A bah-humbug.
"
Qusrcahiib,Astronomers got tired watching the moon go around the earth for 24 hours. They decided to call it a day.
AQn3wPKeqrc,It was raining cats and dogs the other day. I almost stepped in a poodle.
pWv4MuzAQCd,I used to work for an origami company but they folded.
W82EtW01wkb,What happens when you anger a brain surgeon? They will give you a piece of your mind.
fVv4MRuHBsc,How do robots eat guacamole? With computer chips.
1oGYLu4T7Ed,Why is Peter Pan always flying? Because he Neverlands.
4ElyszXDdxc,I went to the store to pick up eight cans of sprite... when I got home I realized I'd only picked seven up
DIeFtkVvHlb,Why do valley girls hang out in odd numbered groups? Because they can't even.
R7UfaahVfFd,My dog used to chase people on a bike a lot. It got so bad I had to take his bike away.
K6UKmykqrjb,What is a witch's favorite subject in school? Spelling!
i31LeNRuzAd,Why did the chicken get a penalty? For fowl play.
0oz51ozk3ob,A steak pun is a rare medium well done.
1T0gqOZT0g,"I thought my wife was joking when she said she'd leave me if I didn't stop signing ""I'm A Believer""... Then I saw her face."
m3wPZoz51ob,Did you hear the news? FedEx and UPS are merging. They’re going to go by the name Fed-Up from now on.
c2LJR7Ed2ob,An apple a day keeps the bullies away. If you throw it hard enough.
GYTCA5TKZvc,It takes guts to be an organ donor.
3E6U8UKmbFd,Sometimes I tuck my knees into my chest and lean forward.  That’s just how I roll.
xAlOZ8pOmjb,How do the trees get on the internet? They log on.
mbpbapbhiyd,Did you hear about the bread factory burning down? They say the business is toast.
vPmy5EtPKuc,"Do you want a brief explanation of what an acorn is? In a nutshell, it's an oak tree."
VKexkV0LeFd,I was in an 80's band called the prevention. We were better than the cure.
TvzdxXSCdFd,Someone broke into my house last night and stole my limbo trophy. How low can you go?
dpWvHtW0Tnb,What's orange and sounds like a parrot? A Carrot.
Q7pGY0Dt4Ed,What do you call someone with no nose? Nobody knows.
IRZDtWSnWDd,"Why do pumpkins sit on people’s porches?

They have no hands to knock on the door."
s49h3ElVnrc,"I burned 2000 calories today, I left my food in the oven for too long."
1gyskqz51ob,What did the father tomato say to the baby tomato whilst on a family walk? Ketchup.
FImyA5EIBAd,"Did you hear about the kidnapping at school? It's ok, he woke up."
Tvcah31oWvc,What do you call a fashionable lawn statue with an excellent sense of rhythmn? A metro-gnome
VKe2gNCQnb,What do you call a group of killer whales playing instruments? An Orca-stra.
rHBQuXLR7h,"Why did the cookie cry?
Because his mother was a wafer so long"
usWLJeaUvc,"For Valentine's day, I decided to get my wife some beads for an abacus.  It's the little things that count."
pWLRK6pWDtc,What do you call a boomerang that won't come back? A stick.
Qn31o49Musc,What do you call a fat psychic? A four-chin teller.
ZoGQuXgV0ob,What do you call your friend who stands in a hole? Phil.
xXvzXga21wc,How do locomotives know where they're going? Lots of training
PZgyPmjb2ob,What do you get when you cross a snowman with a vampire? Frostbite.
ZvzkyXnWLuc,What do you call a droid that takes the long way around? R2 detour.
rcxk3TSKusc,What did the grape do when he got stepped on? He let out a little wine.
ea2TnGBXnrc,They laughed when I said I wanted to be a comedian – they’re not laughing now.
MeaFYLBAQuc,"Have you heard the rumor going around about butter? Never mind, I shouldn't spread it."
3E6MuHtH6h,What did one wall say to the other wall? I'll meet you at the corner!
daxcxciqHe,What do prisoners use to call each other? Cell phones.
n3gVSC5oOmb,What's black and white and read all over? The newspaper.
pjyA59MRusc,"There’s a new type of broom out, it’s sweeping the nation."
jyPCYTKuskb,How did Darth Vader know what Luke was getting for Christmas? He felt his presents.
p4oWvPClVnb,What do you call a cow on a trampoline? A milk shake!
IJYvcFIBAlb,"What did the big flower say to the littler flower? Hi, bud!"
apjyd21DQuc,I got an A on my origami assignment when I turned my paper into my teacher
zkO7wHJmrc,What did the calculator say to the student? You can count on me.
diGeqOfiqc,What’s E.T. short for? He’s only got little legs.
wsPKZozsc,Did you know you should always take an extra pair of pants golfing? Just in case you get a hole in one.
lyPZgVn3Le,"What did the ocean say to the shore? Nothing, it just waved."
cUnWLRZ01wc,What is the leading cause of dry skin? Towels
nbFBdiydxkb,Why did the barber win the race? He took a short cut.
XLRfNuPZDAd,What is a tornado's favorite game to play? Twister!
aFtzPRSnbxc,"Two fish are in a tank, one turns to the other and says, ""how do you drive this thing?"""
zPZ0TClqrc,What do you call a guy lying on your doorstep? Matt.
PRZ8xHtcprc,"Nurse: Doctor, there's a patient that says he's invisible. Doctor: Well, tell him I can't see him right now!"
haMJRfF6hFd,How do you fix a broken pizza? With tomato paste.
TSfFYT7EBd,Why can’t you hear a pterodactyl go to the bathroom? The p is silent.
caxscaMRnjb,Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.
EIJmGY8Etrc,"Doctor: Do you want to hear the good news or the bad news?
Patient: Good news please.
Doctor: we're naming a disease after you."
CtWgqjbMeib,What kind of bagel can fly? A plain bagel.
5oWLeFdxkjb,When is a door not a door? When it's ajar.
RC51wcNRClb,Two dyslexics walk into a bra.
ly5hNR7w5Ed,"I tried taking some high resolution photos of local farmland, but they all turned out a bit grainy."
eiyAXnWS0g,The biggest knight at King Arthur's round table was Sir Cumference. He acquired his size from eating too much pi.
CQSKeaFIBsc,What does a female snake use for support? A co-Bra!
nOfV0gVKBd,"“Hold on, I have something in my shoe”  “I’m pretty sure it’s a foot”"
69xAsrHYDAd,"Why did Mozart kill all his chickens?
Because when he asked them who the best composer was, they'd all say ""Bach bach bach!""
"
FdxHeiqjqzd,Archaeology really is a career in ruins.
NmjNJJR7wc,Why did the miner get fired from his job? He took it for granite...
ZgyPZDtkbFd,What do you call a bear with no teeth? A gummy bear!
cUvsHt41gFd,"A man walked in to a bar with some asphalt on his arm. He said “Two beers please, one for me and one for the road.”"
rjqOZoO7pb,Why was the picture sent to prison? It was framed.
vk31LJB5Elb,Why didn’t the orange win the race? It ran out of juice.
99U0T7hVDlb,Just read a few facts about frogs. They were ribbiting.
HtcNuHJBQCd,How many kids with ADD does it take to change a lightbulb? Let's go ride bikes!
xHY8xsHYTnb,What lies at the bottom of the ocean and twitches? A nervous wreck.
4wciyk3EBAd,"I got a reversible jacket for Christmas, I can't wait to see how it turns out."
KeqOmOZDYDd,Why is it so windy inside an arena? All those fans.
qjV8EIRfVnb,What did the shy pebble wish for? That she was a little boulder.
tcFBIm3gyd,What's brown and sticky? A stick.
Z8p4MeaaFBd,"How many seconds are in a year?
12.
January 2nd, February 2nd, March 2nd, April 2nd.... etc"
1DQZvXvX8Ed,My first time using an elevator was an uplifting experience. The second time let me down.
dpGtcxPKuzd,Do you know where you can get chicken broth in bulk? The stock market.
iq4hVD599pb,"Doctor you've got you help me, I'm addicted to twitter. Doctor: I don't follow you."
daaUfibh,Why was the big cat disqualified from the race? Because it was a cheetah.
mOR7h392TCd,Why are basketball players messy eaters? Because they are always dribbling.
2wP711DAdFd,"Man, I really love my furniture... me and my recliner go way back."
0LuXvkq4Muc,"I knew I shouldn't steal a mixer from work, but it was a whisk I was willing to take."
baFQZv4w5wc,My New Years resolution is to stop leaving things so late.
ahqjV82LBAd,I was thinking about moving to Moscow but there is no point Russian into things.
NZDlb299Uf,Where do sheep go to get their hair cut? The baa-baa shop.
7U89MJeFdib,Have you ever heard of a music group called Cellophane? They mostly wrap.
R7hFtWv49h,I ate a clock yesterday. It was so time consuming.
i39hqWnGljb,When Dad drops a pea off of his plate ‘oh dear I’ve pee’d on the table!
8U8EdpWnOuc,Recent survey revealed 6 out of 7 dwarf's aren't happy.
Dd2EY018Me,What do bees do after they are married? They go on a honeymoon.
GYDY8xXLmyd,Why did the girl smear peanut butter on the road? To go with the traffic jam.
Z8UDIRuXLmb,Who did the wizard marry? His ghoul-friend
scpGtcNJJBd,What do Alexander the Great and Winnie the Pooh have in common? Same middle name.
GlGBIY0wAAd,How much does a hipster weigh? An instagram.
Cd2gFdFQKuc,"Child: Dad, make me a sandwich. Dad: Poof! You're a sandwich."
6MZor4T79pb,"Why do trees seem suspicious on sunny days? Dunno, they're just a bit shady."
M7ElyAQCAd,How was the snow globe feeling after the storm? A little shaken.
mG61giiy5wc,Why didn't the number 4 get into the nightclub? Because he is 2 square.
QuscibaMClb,What does a pirate pay for his corn? A buccaneer!
NRuHJYgaUDd,"How many hipsters does it take to change a lightbulb? Oh, it's a really obscure number. You've probably never heard of it."
xXg3LZLZDd,"*Reversing the car* ""Ah, this takes me back"""
JBIBImbMe,Did you hear the one about the giant pickle?  He was kind of a big dill.
qOK61Tvs4Ed,When do doctors get angry? When they run out of patients.
3w5wAIRZTnb,A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.
fii3Tv4hFd,"Today, my son asked ""Can I have a book mark?"" and I burst into tears. 11 years old and he still doesn't know my name is Brian."
lGe2Tvskyd,Why are fish so smart? Because they live in schools!
Lmjqzsr49pb,What did the Zen Buddist say to the hotdog vendor? Make me one with everything.
6MR79MJ6h,My boss told me to have a good day... so I went home.
UfxAIm3wkjb,Why are ghosts bad liars? Because you can see right through them!
qrHJ69M7hFd,What cheese can never be yours? Nacho cheese.
gFtrHYoWnjb,How do you make a hankie dance? Put a little boogie in it.
BAdU0DAlVvc,What do you call a dad that has fallen through the ice? A Popsicle.
sHlqrjyPf,How can you tell a vampire has a cold? They start coffin.
8hFYojqz5h,Why don't skeletons ride roller coasters? They don't have the stomach for it.
yP7MRucFQCd,Did you hear about the guy who invented Lifesavers? They say he made a mint.
a29pbp4haFd,Where do rabbits go after they get married? On a bunny-moon.
7UnjNRfapzd,Why should you never trust a pig with a secret? Because it's bound to squeal.
Qn3EIRZorrc,"I used to be a banker, but I lost interest."
21DQnbaaxc,Whoever invented the knock-knock joke should get a no bell prize.
KZDtkG6pjqc,Writing with a broken pencil is pointless.
