doc,class
dont buy flowers at a monastery because only you can prevent florist friars,0
the word queue is ironic its just q with a bunch of silent letters waiting in line,0
how does a dyslexic poet write inverse,0
in my career as a lumberjack i cut down exactly 52487 trees i know because i kept a log,0
why is there always a gate around cemeteries because people are always dying to get in,0
i gave my friend 10 puns hoping that one of them would make him laugh sadly no pun in ten did,0
what type of music do balloons hate pop music,0
never take advice from electrons they are always negative,0
what do you call a group of disorganized cats a cattastrophe,0
two muffins were sitting in an oven and the first looks over to the second and says “man it’s really hot in here” the second looks over at the first with a surprised look and answers “whoa a talking muffin”,0
sore throats are a pain in the neck,0
the rotation of earth really makes my day,0
why do you never see elephants hiding in trees because theyre so good at it,0
yesterday i confused the words jacuzzi and yakuza now im in hot water with the japanese mafia,0
what did the red light say to the green light dont look at me im changing,0
what do you do when your bunny gets wet you get your hare dryer,0
how many bones are in the human hand a handful of them,0
some people say that comedians who tell one too many light bulb jokes soon burn out but they dont know watt they are talking about theyre not that bright,0
why are fish easy to weigh because they have their own scales,0
what do you call an argentinian with a rubber toe roberto,0
"some people say that i never got over my obsession with phil collins
but take a look at me now",0
what’s the advantage of living in switzerland well the flag is a big plus,0
what do you call a careful wolf aware wolf,0
to the person who stole my antidepressant pills i hope youre happy now,0
what happens to a frogs car when it breaks down it gets toad,0
why dont sharks eat clowns  because they taste funny,0
americans cant switch from pounds to kilograms overnight that would cause mass confusion,0
whats blue and not very heavy  light blue,0
what did celery say when he broke up with his girlfriend she wasnt right for me so i really dont carrot all,0
why do crabs never give to charity because they’re shellfish,0
what do you call a cow with no legs ground beef,0
what does a clock do when its hungry it goes back four seconds,0
"what do you get when you cross a bee and a sheep a bahhumbug
",0
astronomers got tired watching the moon go around the earth for 24 hours they decided to call it a day,0
it was raining cats and dogs the other day i almost stepped in a poodle,0
i used to work for an origami company but they folded,0
what happens when you anger a brain surgeon they will give you a piece of your mind,0
how do robots eat guacamole with computer chips,0
why is peter pan always flying because he neverlands,0
i went to the store to pick up eight cans of sprite when i got home i realized id only picked seven up,0
why do valley girls hang out in odd numbered groups because they cant even,0
my dog used to chase people on a bike a lot it got so bad i had to take his bike away,0
what is a witchs favorite subject in school spelling,0
why did the chicken get a penalty for fowl play,0
a steak pun is a rare medium well done,0
i thought my wife was joking when she said shed leave me if i didnt stop signing im a believer then i saw her face,0
did you hear the news fedex and ups are merging they’re going to go by the name fedup from now on,0
an apple a day keeps the bullies away if you throw it hard enough,0
it takes guts to be an organ donor,0
sometimes i tuck my knees into my chest and lean forward  that’s just how i roll,0
how do the trees get on the internet they log on,0
did you hear about the bread factory burning down they say the business is toast,0
do you want a brief explanation of what an acorn is in a nutshell its an oak tree,0
i was in an 80s band called the prevention we were better than the cure,0
someone broke into my house last night and stole my limbo trophy how low can you go,0
whats orange and sounds like a parrot a carrot,0
what do you call someone with no nose nobody knows,0
"why do pumpkins sit on people’s porches

they have no hands to knock on the door",0
i burned 2000 calories today i left my food in the oven for too long,0
what did the father tomato say to the baby tomato whilst on a family walk ketchup,0
did you hear about the kidnapping at school its ok he woke up,0
what do you call a fashionable lawn statue with an excellent sense of rhythmn a metrognome,0
what do you call a group of killer whales playing instruments an orcastra,0
"why did the cookie cry
because his mother was a wafer so long",0
for valentines day i decided to get my wife some beads for an abacus  its the little things that count,0
what do you call a boomerang that wont come back a stick,0
what do you call a fat psychic a fourchin teller,0
what do you call your friend who stands in a hole phil,0
how do locomotives know where theyre going lots of training,0
what do you get when you cross a snowman with a vampire frostbite,0
what do you call a droid that takes the long way around r2 detour,0
what did the grape do when he got stepped on he let out a little wine,0
they laughed when i said i wanted to be a comedian – they’re not laughing now,0
have you heard the rumor going around about butter never mind i shouldnt spread it,0
what did one wall say to the other wall ill meet you at the corner,0
what do prisoners use to call each other cell phones,0
whats black and white and read all over the newspaper,0
there’s a new type of broom out it’s sweeping the nation,0
how did darth vader know what luke was getting for christmas he felt his presents,0
what do you call a cow on a trampoline a milk shake,0
what did the big flower say to the littler flower hi bud,0
i got an a on my origami assignment when i turned my paper into my teacher,0
what did the calculator say to the student you can count on me,0
what’s et short for he’s only got little legs,0
did you know you should always take an extra pair of pants golfing just in case you get a hole in one,0
what did the ocean say to the shore nothing it just waved,0
what is the leading cause of dry skin towels,0
why did the barber win the race he took a short cut,0
what is a tornados favorite game to play twister,0
two fish are in a tank one turns to the other and says how do you drive this thing,0
what do you call a guy lying on your doorstep matt,0
nurse doctor theres a patient that says hes invisible doctor well tell him i cant see him right now,0
how do you fix a broken pizza with tomato paste,0
why can’t you hear a pterodactyl go to the bathroom the p is silent,0
did you know the first french fries werent actually cooked in france they were cooked in greece,0
"doctor do you want to hear the good news or the bad news
patient good news please
doctor were naming a disease after you",0
what kind of bagel can fly a plain bagel,0
when is a door not a door when its ajar,0
two dyslexics walk into a bra,0
i tried taking some high resolution photos of local farmland but they all turned out a bit grainy,0
the biggest knight at king arthurs round table was sir cumference he acquired his size from eating too much pi,0
what does a female snake use for support a cobra,0
